Fecha,Hora,Precio
2022-09-12 00:00:00,2.0,382.968479421
2022-09-12 00:00:00,3.0,382.351893325
2022-09-12 00:00:00,4.0,372.098191243
2022-09-12 00:00:00,5.0,375.126423923
2022-09-12 00:00:00,6.0,370.03289473
2022-09-12 00:00:00,7.0,373.296841795
2022-09-12 00:00:00,8.0,389.848249354
2022-09-12 00:00:00,9.0,417.604946603
2022-09-12 00:00:00,10.0,419.006081781
2022-09-12 00:00:00,11.0,432.780004242
2022-09-12 00:00:00,12.0,391.406819342
2022-09-12 00:00:00,13.0,368.778429042
2022-09-12 00:00:00,14.0,361.251544715
2022-09-12 00:00:00,15.0,282.702967086
2022-09-12 00:00:00,16.0,285.237815122
2022-09-12 00:00:00,17.0,314.599457838
2022-09-12 00:00:00,18.0,338.444123637
2022-09-12 00:00:00,19.0,415.590454005
2022-09-12 00:00:00,20.0,440.621185821
2022-09-12 00:00:00,21.0,461.088629336
2022-09-12 00:00:00,22.0,479.905550641
2022-09-12 00:00:00,23.0,380.782880655
2022-09-12 00:00:00,24.0,363.851981479
2021-06-09 00:00:00,1.0,108.44009662
2021-06-09 00:00:00,2.0,106.0168355
2021-06-09 00:00:00,3.0,101.76281108
2021-06-09 00:00:00,4.0,104.96845294
2021-06-09 00:00:00,5.0,107.91359494
2021-06-09 00:00:00,6.0,109.39971164
2021-06-09 00:00:00,7.0,109.97768918
2021-06-09 00:00:00,8.0,110.82565126
2021-06-09 00:00:00,9.0,147.8670804
2021-06-09 00:00:00,10.0,140.5659675
2021-06-09 00:00:00,11.0,232.87733864
2021-06-09 00:00:00,12.0,233.16726722
2021-06-09 00:00:00,13.0,233.46479522
2021-06-09 00:00:00,14.0,233.54481222
2021-06-09 00:00:00,15.0,140.26467294
2021-06-09 00:00:00,16.0,134.80083636
2021-06-09 00:00:00,17.0,129.49316892
2021-06-09 00:00:00,18.0,135.81451692
2021-06-09 00:00:00,19.0,234.63527066
2021-06-09 00:00:00,20.0,238.63752026
2021-06-09 00:00:00,21.0,240.707239
2021-06-09 00:00:00,22.0,241.90244902
2021-06-09 00:00:00,23.0,148.9251162
2021-06-09 00:00:00,24.0,142.1733148
2022-09-06 00:00:00,1.0,405.761298053
2022-09-06 00:00:00,2.0,364.996275319
2022-09-06 00:00:00,3.0,376.146536434
2022-09-06 00:00:00,4.0,381.553404921
2022-09-06 00:00:00,5.0,388.342571151
2022-09-06 00:00:00,6.0,381.216531835
2022-09-06 00:00:00,7.0,366.316333645
2022-09-06 00:00:00,8.0,434.010978983
2022-09-06 00:00:00,9.0,451.196750451
2022-09-06 00:00:00,10.0,399.00610266
2022-09-06 00:00:00,11.0,368.959257242
2022-09-06 00:00:00,12.0,353.134798242
2022-09-06 00:00:00,13.0,348.859093533
2022-09-06 00:00:00,14.0,343.266817107
2022-09-06 00:00:00,15.0,293.298925757
2022-09-06 00:00:00,16.0,294.995135313
2022-09-06 00:00:00,17.0,297.046052409
2022-09-06 00:00:00,18.0,302.972870038
2022-09-06 00:00:00,19.0,363.247328605
2022-09-06 00:00:00,20.0,461.996242252
2022-09-06 00:00:00,21.0,508.179533574
2022-09-06 00:00:00,22.0,522.994843231
2022-09-06 00:00:00,23.0,467.019401576
2022-09-06 00:00:00,24.0,477.19606585
2022-05-23 00:00:00,1.0,246.278934032
2022-05-23 00:00:00,2.0,231.592829065
2022-05-23 00:00:00,3.0,223.095554257
2022-05-23 00:00:00,4.0,225.060321853
2022-05-23 00:00:00,5.0,224.815036204
2022-05-23 00:00:00,6.0,225.339723661
2022-05-23 00:00:00,7.0,255.573987575
2022-05-23 00:00:00,8.0,276.872358032
2022-05-23 00:00:00,9.0,312.872031012
2022-05-23 00:00:00,10.0,292.413659595
2022-05-23 00:00:00,11.0,334.894090946
2022-05-23 00:00:00,12.0,315.912718456
2022-05-23 00:00:00,13.0,303.354927807
2022-05-23 00:00:00,14.0,301.80439986
2022-05-23 00:00:00,15.0,245.673166946
2022-05-23 00:00:00,16.0,250.877059224
2022-05-23 00:00:00,17.0,249.161783767
2022-05-23 00:00:00,18.0,255.213409065
2022-05-23 00:00:00,19.0,299.643755436
2022-05-23 00:00:00,20.0,335.898863436
2022-05-23 00:00:00,21.0,331.29059284
2022-05-23 00:00:00,22.0,333.369067701
2022-05-23 00:00:00,23.0,284.675936734
2022-05-23 00:00:00,24.0,255.506612575
2022-03-25 00:00:00,1.0,335.928497641
2022-03-25 00:00:00,2.0,319.655899078
2022-03-25 00:00:00,3.0,307.861950621
2022-03-25 00:00:00,4.0,303.837447568
2022-03-25 00:00:00,5.0,299.185415568
2022-03-25 00:00:00,6.0,326.275670025
2022-03-25 00:00:00,7.0,334.481016694
2022-03-25 00:00:00,8.0,352.725459853
2022-03-25 00:00:00,9.0,384.561923012
2022-03-25 00:00:00,10.0,382.938593681
2022-03-25 00:00:00,11.0,441.682970383
2022-03-25 00:00:00,12.0,421.207370734
2022-03-25 00:00:00,13.0,407.976509383
2022-03-25 00:00:00,14.0,404.338970383
2022-03-25 00:00:00,15.0,332.980488628
2022-03-25 00:00:00,16.0,319.16152582
2022-03-25 00:00:00,17.0,341.196129065
2022-03-25 00:00:00,18.0,372.03159231
2022-03-25 00:00:00,19.0,452.249846449
2022-03-25 00:00:00,20.0,467.821136098
2022-03-25 00:00:00,21.0,470.535213853
2022-03-25 00:00:00,22.0,449.9831788
2022-03-25 00:00:00,23.0,373.236007502
2022-03-25 00:00:00,24.0,371.354421396
2022-03-31 00:00:00,1.0,346.533732694
2022-03-31 00:00:00,2.0,331.379576482
2022-03-31 00:00:00,3.0,330.629195025
2022-03-31 00:00:00,4.0,323.351525621
2022-03-31 00:00:00,5.0,317.100831621
2022-03-31 00:00:00,6.0,321.179322376
2022-03-31 00:00:00,7.0,326.833052343
2022-03-31 00:00:00,8.0,348.112813608
2022-03-31 00:00:00,9.0,382.162131012
2022-03-31 00:00:00,10.0,365.456050681
2022-03-31 00:00:00,11.0,391.250555436
2022-03-31 00:00:00,12.0,375.568081085
2022-03-31 00:00:00,13.0,341.653679436
2022-03-31 00:00:00,14.0,318.97139284
2022-03-31 00:00:00,15.0,261.854616787
2022-03-31 00:00:00,16.0,258.553910032
2022-03-31 00:00:00,17.0,249.566987575
2022-03-31 00:00:00,18.0,250.594365171
2022-03-31 00:00:00,19.0,316.415017959
2022-03-31 00:00:00,20.0,367.938201661
2022-03-31 00:00:00,21.0,418.661283012
2022-03-31 00:00:00,22.0,421.99449231
2022-03-31 00:00:00,23.0,346.606479012
2022-03-31 00:00:00,24.0,302.790120204
2022-10-07 00:00:00,1.0,298.936972508
2022-10-07 00:00:00,2.0,293.893002547
2022-10-07 00:00:00,3.0,279.013287075
2022-10-07 00:00:00,4.0,281.605203506
2022-10-07 00:00:00,5.0,312.999788407
2022-10-07 00:00:00,6.0,311.98559113
2022-10-07 00:00:00,7.0,327.298790598
2022-10-07 00:00:00,8.0,328.935426244
2022-10-07 00:00:00,9.0,398.638200272
2022-10-07 00:00:00,10.0,372.500098942
2022-10-07 00:00:00,11.0,359.323711803
2022-10-07 00:00:00,12.0,322.972973122
2022-10-07 00:00:00,13.0,314.900454431
2022-10-07 00:00:00,14.0,306.053374383
2022-10-07 00:00:00,15.0,249.705236145
2022-10-07 00:00:00,16.0,249.877572342
2022-10-07 00:00:00,17.0,250.622646789
2022-10-07 00:00:00,18.0,279.188580238
